dataset,nodes,edges,source,target,tau,tau_mode,baseline_cost,baseline_prob,baseline_nodes_explored,baseline_edges_examined,baseline_edges_relaxed,baseline_ms,pruned_cost,pruned_prob,pruned_nodes_explored,pruned_edges_examined,pruned_edges_relaxed,pruned_ms,path_found,speedup,optimality_gap_pct
RetailRocket-event,3,9,addtocart,transaction,0.203269380301,adaptive,1.487863,0.2258548670,3,6,6,0.005,1.487863,0.2258548670,3,6,4,0.017,True,0.31,0.0
RetailRocket-event,3,9,addtocart,transaction,0.214562123651,adaptive,1.487863,0.2258548670,3,6,6,0.005,1.487863,0.2258548670,3,6,3,0.004,True,1.31,0.0
RetailRocket-event,3,9,addtocart,transaction,0.223596318331,adaptive,1.487863,0.2258548670,3,6,6,0.005,1.487863,0.2258548670,3,6,3,0.017,True,0.31,0.0
RetailRocket-event,3,9,addtocart,transaction,0.225854867001,adaptive,1.487863,0.2258548670,3,6,6,0.005,,,2,6,2,0.004,False,1.34,
RetailRocket-event,3,9,addtocart,transaction,0.248440353701,adaptive,1.487863,0.2258548670,3,6,6,0.005,,,2,6,2,0.004,False,1.38,
RetailRocket-event,3,9,addtocart,view,0.0001,fixed,0.57058,0.5651977360,2,3,3,0.004,0.57058,0.5651977360,2,3,3,0.003,True,1.17,0.0
RetailRocket-event,3,9,addtocart,view,0.001,fixed,0.57058,0.5651977360,2,3,3,0.004,0.57058,0.5651977360,2,3,3,0.003,True,1.06,0.0
RetailRocket-event,3,9,addtocart,view,0.01,fixed,0.57058,0.5651977360,2,3,3,0.004,0.57058,0.5651977360,2,3,3,0.003,True,1.09,0.0
RetailRocket-event,3,9,addtocart,view,0.1,fixed,0.57058,0.5651977360,2,3,3,0.004,0.57058,0.5651977360,2,3,3,0.003,True,1.13,0.0
RetailRocket-event,3,9,addtocart,view,0.5,fixed,0.57058,0.5651977360,2,3,3,0.004,0.57058,0.5651977360,2,3,1,0.002,True,1.4,0.0
RetailRocket-event,3,9,addtocart,view,0.056519773603,adaptive,0.57058,0.5651977360,2,3,3,0.004,0.57058,0.5651977360,2,3,3,0.003,True,1.03,0.0
RetailRocket-event,3,9,addtocart,view,0.169559320808,adaptive,0.57058,0.5651977360,2,3,3,0.004,0.57058,0.5651977360,2,3,3,0.003,True,1.06,0.0
RetailRocket-event,3,9,addtocart,view,0.282598868013,adaptive,0.57058,0.5651977360,2,3,3,0.004,0.57058,0.5651977360,2,3,1,0.003,True,1.25,0.0
RetailRocket-event,3,9,addtocart,view,0.395638415219,adaptive,0.57058,0.5651977360,2,3,3,0.004,0.57058,0.5651977360,2,3,1,0.002,True,1.4,0.0
RetailRocket-event,3,9,addtocart,view,0.508677962424,adaptive,0.57058,0.5651977360,2,3,3,0.004,0.57058,0.5651977360,2,3,1,0.003,True,1.3,0.0
RetailRocket-event,3,9,addtocart,view,0.536937849225,adaptive,0.57058,0.5651977360,2,3,3,0.004,0.57058,0.5651977360,2,3,1,0.003,True,1.35,0.0
RetailRocket-event,3,9,addtocart,view,0.559545758666,adaptive,0.57058,0.5651977360,2,3,3,0.004,0.57058,0.5651977360,2,3,1,0.003,True,1.35,0.0
RetailRocket-event,3,9,addtocart,view,0.565197736026,adaptive,0.57058,0.5651977360,2,3,3,0.004,0.57058,0.5651977360,2,3,1,0.002,True,1.46,0.0
RetailRocket-event,3,9,addtocart,view,0.621717509629,adaptive,0.57058,0.5651977360,2,3,3,0.004,,,1,3,0,0.002,False,1.67,
RetailRocket-event,3,9,view,transaction,0.0001,fixed,4.689428,0.0091919426,3,6,6,0.005,4.689428,0.0091919426,3,6,6,0.005,True,1.04,0.0
RetailRocket-event,3,9,view,transaction,0.001,fixed,4.689428,0.0091919426,3,6,6,0.005,4.689428,0.0091919426,3,6,6,0.005,True,1.04,0.0
RetailRocket-event,3,9,view,transaction,0.01,fixed,4.689428,0.0091919426,3,6,6,0.005,,,2,6,3,0.004,False,1.46,
RetailRocket-event,3,9,view,transaction,0.1,fixed,4.689428,0.0091919426,3,6,6,0.005,,,1,3,1,0.002,False,2.13,
RetailRocket-event,3,9,view,transaction,0.5,fixed,4.689428,0.0091919426,3,6,6,0.005,,,1,3,1,0.002,False,2.22,
RetailRocket-event,3,9,view,transaction,0.000919194265,adaptive,4.689428,0.0091919426,3,6,6,0.005,4.689428,0.0091919426,3,6,6,0.005,True,1.02,0.0
RetailRocket-event,3,9,view,transaction,0.002757582795,adaptive,4.689428,0.0091919426,3,6,6,0.005,4.689428,0.0091919426,3,6,6,0.005,True,1.06,0.0
RetailRocket-event,3,9,view,transaction,0.004595971325,adaptive,4.689428,0.0091919426,3,6,6,0.005,4.689428,0.0091919426,3,6,5,0.004,True,1.21,0.0
RetailRocket-event,3,9,view,transaction,0.006434359855,adaptive,4.689428,0.0091919426,3,6,6,0.005,4.689428,0.0091919426,3,6,5,0.004,True,1.24,0.0
RetailRocket-event,3,9,view,transaction,0.008272748385,adaptive,4.689428,0.0091919426,3,6,6,0.005,4.689428,0.0091919426,3,6,5,0.004,True,1.28,0.0
RetailRocket-event,3,9,view,transaction,0.008732345517,adaptive,4.689428,0.0091919426,3,6,6,0.005,4.689428,0.0091919426,3,6,4,0.004,True,1.34,0.0
RetailRocket-event,3,9,view,transaction,0.009100023223,adaptive,4.689428,0.0091919426,3,6,6,0.005,4.689428,0.0091919426,3,6,4,0.004,True,1.38,0.0
RetailRocket-event,3,9,view,transaction,0.00919194265,adaptive,4.689428,0.0091919426,3,6,6,0.005,,,2,6,3,0.003,False,1.5,
RetailRocket-event,3,9,view,transaction,0.010111136915,adaptive,4.689428,0.0091919426,3,6,6,0.005,,,2,6,3,0.003,False,1.5,
RetailRocket-event,3,9,addtocart,view,0.0001,fixed,0.57058,0.5651977360,2,3,3,0.003,0.57058,0.5651977360,2,3,3,0.003,True,1.1,0.0
RetailRocket-event,3,9,addtocart,view,0.001,fixed,0.57058,0.5651977360,2,3,3,0.003,0.57058,0.5651977360,2,3,3,0.003,True,0.97,0.0
RetailRocket-event,3,9,addtocart,view,0.01,fixed,0.57058,0.5651977360,2,3,3,0.003,0.57058,0.5651977360,2,3,3,0.003,True,1.06,0.0
RetailRocket-event,3,9,addtocart,view,0.1,fixed,0.57058,0.5651977360,2,3,3,0.003,0.57058,0.5651977360,2,3,3,0.004,True,0.94,0.0
RetailRocket-event,3,9,addtocart,view,0.5,fixed,0.57058,0.5651977360,2,3,3,0.003,0.57058,0.5651977360,2,3,1,0.003,True,1.26,0.0
RetailRocket-event,3,9,addtocart,view,0.056519773603,adaptive,0.57058,0.5651977360,2,3,3,0.003,0.57058,0.5651977360,2,3,3,0.003,True,1.03,0.0
